119	Br11	35	0.3029	0.158	0.1035	7
120	Br11	35	0.8029	0.658	0.1035	15
121	Br12	35	0.3656	0.0272	0.5451	1
122	Br12	35	0.8656	0.5272	0.5451	9
123	Br12	35	0.6344	0.9728	0.4549	3
124	Br12	35	0.1344	0.4728	0.4549	11
125	Br12	35	0.6344	0.0272	0.9549	5
126	Br12	35	0.1344	0.5272	0.9549	13
127	Br12	35	0.3656	0.9728	0.0451	7
128	Br12	35	0.8656	0.4728	0.0451	15
129	Br13	35	0.6025	0.5475	0.8037	1
130	Br13	35	0.1025	0.0475	0.8037	9
131	Br13	35	0.3975	0.4525	0.1963	3
132	Br13	35	0.8975	0.9525	0.1963	11
133	Br13	35	0.3975	0.5475	0.6963	5
134	Br13	35	0.8975	0.0475	0.6963	13
135	Br13	35	0.6025	0.4525	0.3037	7
136	Br13	35	0.1025	0.9525	0.3037	15
137	Br14	35	0.6762	0.4902	0.9542	1
138	Br14	35	0.1762	0.9902	0.9542	9
139	Br14	35	0.3238	0.5098	0.0458	3
140	Br14	35	0.8238	0.0098	0.0458	11
141	Br14	35	0.3238	0.4902	0.5458	5
142	Br14	35	0.8238	0.9902	0.5458	13
143	Br14	35	0.6762	0.5098	0.4542	7
144	Br14	35	0.1762	0.0098	0.4542	15
145	Br15	35	0.5214	0.5257	0.8942	1
146	Br15	35	0.0214	0.0257	0.8942	9
147	Br15	35	0.4786	0.4743	0.1058	3
148	Br15	35	0.9786	0.9743	0.1058	11
149	Br15	35	0.4786	0.5257	0.6058	5
150	Br15	35	0.9786	0.0257	0.6058	13
151	Br15	35	0.5214	0.4743	0.3942	7
152	Br15	35	0.0214	0.9743	0.3942	15
153	Br16	35	0.5844	0.3107	0.8608	1
154	Br16	35	0.0844	0.8107	0.8608	9
155	Br16	35	0.4156	0.6893	0.1392	3
156	Br16	35	0.9156	0.1893	0.1392	11
157	Br16	35	0.4156	0.3107	0.6392	5
158	Br16	35	0.9156	0.8107	0.6392	13
159	Br16	35	0.5844	0.6893	0.3608	7
160	Br16	35	0.0844	0.1893	0.3608	15
